Sample,Type,Treatment,Combo,Symbiont_density,SQRT_Symbiont
AV21- 001,white,Control,WC,60000,244.9489743
AV21- 002,brown,Control,BC,1293333.334,1137.248141
AV21- 003,brown,Control,BC,1780000,1334.166406
AV21- 004,brown,Control,BC,586666.666,765.9416858
AV21- 005,brown,Control,BC,706666.666,840.6346805
AV21- 006,brown,Control,BC,2186666.66,1478.738199
AV21- 007,brown,Control,BC,1006666.666,1003.327796
AV21- 008,brown,Control,BC,4386666.66,2094.437075
AV21- 009,white,Control,WC,660000,812.4038405
AV21- 010,brown,Control,BC,873333.334,934.5230516
AV21- 011,brown,treatment,BT,940000,969.5359715
AV21- 012,white,treatment,WT,0,0
AV21- 013,brown,treatment,BT,3593333.34,1895.608963
AV21- 014,brown,treatment,BT,1413333.334,1188.836967
AV21- 015,brown,treatment,BT,613333.334,783.1560087
AV21- 016,brown,treatment,BT,1373333.334,1171.893056
AV21- 017,white,treatment,WT,1480000,1216.552506
AV21- 018,brown,treatment,BT,1660000,1288.409873
AV21- 019,white,treatment,WT,286666.666,535.4126129
AV21- 020,brown,Control,BC,1453333.334,1205.542755
AV21- 021,brown,Control,BC,640000,800
AV21- 022,brown,Control,BC,3393333.34,1842.100252
AV21- 023,brown,Control,BC,1126666.666,1061.445555
AV21- 024,brown,Control,BC,2206666.66,1485.485328
AV21- 025,brown,Control,BC,3860000,1964.68827
AV21- 026,white,Control,WC,300000,547.7225575
AV21- 027,white,Control,WC,53333.3334,230.9401078
AV21- 028,brown,Control,BC,3433333.34,1852.925616
AV21- 029,white,treatment,WT,13333.3334,115.4700541
AV21- 030,brown,treatment,BT,7713333.34,2777.288847
AV21- 031,white,treatment,WT,6666.6666,81.64965768
AV21- 032,brown,treatment,BT,3473333.34,1863.688102
AV21- 033,brown,treatment,BT,4333333.34,2081.666001
AV21- 034,white,treatment,WT,160000,400
AV21- 035,brown,treatment,BT,2153333.34,1467.424049
AV21- 036,brown,treatment,BT,1473333.334,1213.809431
AV21- 037,white,treatment,WT,1473333.334,1213.809431