Sample,Tank,Immune,Symbiont,Symbiont_Count,SC_sqrt
IC001,One,C,W,3,2
IC002,One,C,B,64.66666667,8.103497188
IC003,One,C,B,89,9.486832981
IC004,One,C,B,29.33333333,5.507570547
IC005,One,C,B,35.33333333,6.027713773
IC006,One,C,B,109.3333333,10.5039675
IC007,One,C,B,50.33333333,7.16472842
IC008,One,C,B,219.3333333,14.84362938
IC009,One,C,W,33,5.830951895
IC010,One,C,B,43.66666667,6.683312552
IC011,Two,T,B,47,6.92820323
IC012,Two,T,W,0,1
IC013,Two,T,B,179.6666667,13.4412301
IC014,Two,T,B,70.66666667,8.465616733
IC015,Two,T,B,30.66666667,5.627314339
IC016,Two,T,B,68.66666667,8.346656017
IC017,Two,T,W,74,8.660254038
IC018,Two,T,B,83,9.16515139
IC019,Two,T,W,14.33333333,3.915780041
IC020,Three,C,B,72.66666667,8.582928793
IC021,Three,C,B,32,5.744562647
IC022,Three,C,B,169.6666667,13.0639453
IC023,Three,C,B,56.33333333,7.571877794
IC024,Three,C,B,110.3333333,10.55146119
IC025,Three,C,B,193,13.92838828
IC026,Three,C,W,15,4
IC027,Three,C,W,2.666666667,1.914854216
IC028,Three,C,B,171.6666667,13.1402689
IC029,Four,T,W,0.666666667,1.290994449
IC030,Four,T,B,385.6666667,19.66384161
IC031,Four,T,W,0.333333333,1.154700538
IC032,Four,T,B,173.6666667,13.21615174
IC033,Four,T,B,216.6666667,14.75353065
IC034,Four,T,W,8,3
IC035,Four,T,B,107.6666667,10.42433052
IC036,Four,T,B,73.66666667,8.640987598
IC037,Four,T,W,73.66666667,8.640987598